"Article"	"Len"	"BadFreqs"	"Len1"	"Len2"	"Len3"	"Len4"	"Class"
"#перенаправление Баскервилла "	2	0	0	0	0	0	"bad"
" '''Бифренария''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь Лымшор Америка лэн сяськаё будос . Дуннеын тодмо ог 20 пӧртэм. Видъёс * '' Bifrenaria atropurpurea ''
* '' Bifrenaria aureofulva ''
* '' Bifrenaria calcarata ''
* '' Bifrenaria charlesworthii ''
* '' Bifrenaria clavigera ''
* '' Bifrenaria grandis ''
* '' Bifrenaria harrisoniae ''
* '' Bifrenaria inodora ''
* '' Bifrenaria leucorrhoda ''
* '' Bifrenaria longicornis ''
* '' Bifrenaria mellicolor ''
* '' Bifrenaria racemosa ''
* '' Bifrenaria silvana ''
* '' Bifrenaria stefanae ''
* '' Bifrenaria steyermarkii ''
* '' Bifrenaria tetragona ''
* '' Bifrenaria tyrianthina ''
* '' Bifrenaria venezuelana ''
* '' Bifrenaria verboonenii ''
* '' Bifrenaria vitellina ''
* '' Bifrenaria wittigii '' "	81	7	0	1	1	0	"bad"
"#перенаправление Бифренария "	2	0	0	0	0	0	"bad"
" '''Бинотия''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь Бразилия|Бразилилэн сяськаё будос . Дуннеын тодмо ог 2 пӧртэм. Видъёс # '' Binotia brasiliensis '' (Rolfe) Rolfe, Orchid Rev. 13: 296 (1905).
# '' Binotia messmeriana '' Campacci, Bol. CAOB 57: 24 (2005). "	35	5	0	1	0	0	"bad"
"#перенаправление Бинотия "	2	0	0	0	0	0	"bad"
" '''Бипиннула''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь Америка|Америкалэн сяськаё будос . Дуннеын тодмо ог 10 пӧртэм. Видъёс # '' Bipinnula biplumata '' (L.f.) Rchb.f., Xenia Orchid. 3: 62 (1883).
# '' Bipinnula canisii '' Dutra ex Pabst, Arq. Bot. Estado São Paulo, n.s., f.m., 3: 109 (1955).
# '' Bipinnula ctenopetala '' Schltr., Repert. Spec. Nov. Regni Veg. Beih. 35: 24 (1925).
# '' Bipinnula fimbriata '' (Poepp.) I.M.Johnst., Contr. Gray Herb., n.s., 85: 28 (1929).
# '' Bipinnula gibertii '' Rchb.f., Linnaea 41: 51 (1876).
# '' Bipinnula montana '' Arechav., Anales Mus. Nac. Montevideo 2: 282 (1899).
# '' Bipinnula plumosa '' Lindl., Quart. J. Roy. Inst. Gr. Brit., n.s., 1: 51 (1827).
# '' Bipinnula polysyka '' Kraenzl., Bot. Jahrb. Syst. 9: 317 (1887).
# '' Bipinnula taltalensis '' I.M.Johnst., Contr. Gray Herb., n.s., 75: 27 (1929).
# '' Bipinnula volkmannii '' Kraenzl., Orchid. Gen. Sp. 2: 22 (1903). "	131	5	0	1	0	0	"bad"
"#перенаправление Бипиннула "	2	0	0	0	0	0	"bad"
" '''Блетия''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь но Америка|Америкалэн сяськаё будос . Видъёс * '' Bletia adenocarpa '' Мексика.
* '' Bletia amabilis '' Мексика.
* '' Bletia antillana '' Куба.
* '' Bletia campanulata '' Мексика - Аргентина.
* '' Bletia candida '' Колумбия.
* '' Bletia catenulata '' Колумбия - Боливия, Бразилия .
* '' Bletia coccinea '' Мексика.
* '' Bletia concolor '' Мексика.
* '' Bletia ensifolia '' Мексика.
* '' Bletia florida '' Куба но Ямайка.
* '' Bletia gracilis '' Мексика- Гватемала.
* '' Bletia greenmaniana '' Мексика.
* '' Bletia greenwoodiana '' Мексика.
* '' Bletia lilacina '' Мексика.
* '' Bletia macristhmochila '' Мексика.
* '' Bletia meridana '' Венесуэла.
* '' Bletia neglecta '' Мексика.
* '' Bletia nelsonii '' Мексика.
* '' Bletia netzeri '' Доминикан Республика.
* '' Bletia parkinsonii '' Мексика.
* '' Bletia parviflora '' Перу.
* '' Bletia patula '' Флорида но Кариб.
* '' Bletia punctata '' Мексика.
* '' Bletia purpurata '' Централь Америка.
* '' Bletia purpurea '' Флорида но Мексика - Перу, Боливия но Бразилия.
* '' Bletia reflexa '' Централь Америка.
* '' Bletia repanda '' Перу.
* '' Bletia riparia '' Мексика.
* '' Bletia roezlii '' Централь Америка.
* '' Bletia similis '' Мексика.
* '' Bletia stenophylla '' Венесуэла , Колумбия но Эквадор.
* '' Bletia tenuifolia '' Мексика.
* '' Bletia uniflora '' Перу.
* '' Bletia urbana '' Мексика.
* '' Bletia warfordiana '' Мексика. "	173	14	0	6	0	6	"bad"
"#перенаправление Блетия "	2	0	0	0	0	0	"bad"
" '''Блетилла''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь Азия|Азилэн сяськаё будос . Дуннеын тодмо ог 9 пӧртэм. Видъёс * '' Bletilla chartacea ''
* '' Bletilla cotoensis ''
* '' Bletilla foliosa '' * '' Bletilla japonica ''
* '' Bletilla morrisonicola ''
* '' Bletilla ochracea ''
* '' Bletilla scopulorum ''
* '' Bletilla sinensis * '' Bletilla striata * '' Bletilla szetschuanica * '' Bletilla yunnanensis "	49	5	0	1	0	0	"bad"
