"Article"	"Len"	"BadFreqs"	"Len2"	"Len3"	"Len4"	"Class"
"'''Андерс Беринг Брейвик''' ( ; 13 февральковста 1979, Осло - ) — Норвегие|Норвегиень террорист ди организатор. "	14	0	1	0	1	"bad"
" лофца '''Лофца''' — акша ведсь, лофцаень тряень васенце ярхцамбяльсь, конаса синь авакатне андсазь. Тяни лофцась моли лама ломанень ярхцамбяльс, сонь нолдамась арась оцю экономиконь тарадокс. "	25	1	0	1	6	"good"
" '''Эйня''' - эйндаф ламбама ярхцамбяльсь лофцста ди лангста, сидеста имож, захар, танцти петькс мархта. = Эрямопингсь = "	16	0	1	0	2	"good"
" '''Сал''' - илякс кевонь сал, минералсь конась ащи клоридонь натрида, пяк эрявикс кържа вирьса шумбра эряфонди ди пелькс оцю вирьса. Кунардонь ярхцамбяленди петькс эди ванфтомат. "	24	1	1	6	0	"good"
" '''Захар''' — ламбама таньф сивонь кевейшка седельветтне, ащихть сукрозада, лактозада ди фруктозада. Синь максыхть ронганди эрявикс эрьгя. Сембода сидеста нолдави захаронь ряпста ди захар нюдиняста. Иля захаронь сортонза молихть индустриень ярхцамбялень нолдамасб теест сяда сидеста мярьгихть глюкоза,фруктоза эли иможень захар. "	40	0	2	2	2	"good"
" алхт (виде ширеса) '''Алхт''' - нармонень, ёзмолдыхнень, калонь эди ведьса-модаса эряйхнень кунардонь пингста сувсихть ломанень ярхцамбяльс. Нармонень эди ёзмолдыхнень алсна ащихть лочта, алакшада ди алтюжяда. Сембода сидеста ярхцамбяльс сувсихть саразонь, яксяргонь ди калонь алхне. "	33	0	2	2	3	"good"
" '''Кши''' - ярхцамбялсь конась тиеви почф|почфста эди ведь|ведьста . Сидеста кшис тага сувси Сал|сивонь сал , оргат. Кшис тага поладыхть камборкс, пяштть, коське винамарьхть, маконь видьмот и с.т. "	25	0	0	4	4	"good"
"'''Почф''' - тозеронь эли иля видьмонь, юронь шовафкссь. Видьмонь почф эрявикс Кши|кшинь пидеманди. "	12	0	0	2	2	"good"
" '''Ведь''' ( Ведьшачфты|ведьшачфтыень Оксиди|оксидись — кимиень найбяльсь, таньффтома, тюсфтома, шинефтома валда шонгаркссь (стандартонь ащемаса). Кимиень формулац: ведьшачфты|Н 2 шапафни|O . Ведти калгода ащемаса мярьгихть эй эли лов , газонь ащемаса — ведь шиньф . 71 % Модань лангоц ащи ведьта (океатт, иневетть, эрьхкот, ляйхть, эйбаксят). "	41	0	1	3	2	"good"
" '''Эй''' — ведь|ведсь калгода агрегатонь ащемаса, минералсь. Эйсь тага мярьгихть иля найбяльти, конатне стандартонь ащемаса ащихть газокс, шонгарксокс, кпотьксонди коське эй , аммияк|аммияконь эй эли метан|метанонь эй . "	26	0	4	2	2	"good"
" '''Сернень тюрема''' — (сёксе 1242 киза) мокшень, эрзянь, аскизонь ушмонь Субедень монголхнень ушмонзон каршес. Ушмось вятсь каназорава Наручадь . Кяльвалсь # Белорыбкин Г. Н., АиФ, Пенза, №33 (509), август, 2007 #Горланов Г. Е. «Золотарёвское побоище» , поэма, 2006 .
# Юхма Мишши, ;Ахарсамана; (Светопреставление), Чебоксары , 2008 .
# Бартольд В.В. Работы по источниковедению. – М.: Наука, 1973. Т.VIII.
# Белорыбкин Г.Н. Золоторевское поселение. - Спб. - Пенза: Издательство ПГПУ, 2001.
# Джованни дель Плано Карпини, История Монгалов / Гильом ле Рубрук, Путешествие в восточные страны / Книга Марко Поло. М.: «Мысль», 1997.
# Гордеев В.И., Павленко Ю.А. Малый город Поволжья в позднем средневековье. Материалы и исследования по археологии Поволжья. – Йошкар-Ола: Марийский государственный университет, 2004.
# Каргалов В.В. Конец Ордынского ига. М.: Наука, 1980.
# Комаров К.И. Нашествие Батыя на Северо-Восточную Русь (1237-1238 гг.) с. 16 – 39 // Археология Верхнего Поволжья (к 80 - летию К.И. Комарова). - М.: ИА РАН, 2006.
# Матфей Парижский. Английские средневековые источники IX-XIII вв. - М.: «Наука», 1979.
# Насонов А.Н. «Русская земля» и образование территории древнерусского государства. Историко-географическое исследование. Монголы и Русь. История татарской политики на Руси. - СПб.: Наука, 2006. Изд.2.
# ПСРЛ, Лаврентьевская летопись. – Ленинград: Издательство АН, 1926. Т.1.
# ПСРЛ, Лаврентьевская летопись. Вып.2: Суздальская летопись по Лаврентьевскому списку. – Ленинград, Издательство АН, 1927. Т.1. Изд.2.
# Рашид-ад-Дин. Сборник Летописей, М.-Л. Издательство Академии наук СССР, 1952, Научно издательский центр «Ладомир» 2002, - Москва. Т.I.
# Тизенгаузен В.С. Сборник материалов, относящихся к истории Золотой Орды, Извлечения из сочинений арабских. Издано на иждивении графа С.Г. Строганова. - СПб.: Типография Императорской Академии наук, 1884. Т.1.
# Храмовицкий Н.И. Краткий очерк истории и описание Нижнего Новгорода. Ч.1. - Н. Новгород. 1857. Ушеширень кучфтемат Мадуров Д.Ф.События XIII века в истории эрзи и мокши "	276	1	13	22	17	"good"
"'''Мишанина, Валентина''' ( ) (шачсь 20.11.1950, Адаж велесь) — мокшень сермадысь, драма сёрмадысь. Эряфонь киц Аделась А. Горьки лемса литературонь институсь. Киниганза *«Сиянь ракакудня»,1974
*«Качаму шобдава», 1976
*«Ки лангса ломатть», 1985
*«Вальмафтома куд», 2002 Налхкоманза *«Тройцянь карша»
*«Озкс тумоть тарадонза»
*«Эх, ломатть, ломатть»
*«Куйгорож»
*«Тят, шава, тят сала» Ушеширень кучфтемат Мишанина Валентина Ивановна — «Мордовиянь литературонь библиотексь» "	56	2	0	2	5	"good"
"'''Пинясов, Криша''' (11.09.1944) — мокшень сёрмадысь, драма сёрмадысь. Киниганза *«Сембода лямбе берякти», 1988 )
*«Тушенттама, аля, тушенттама», ( 1990 )
*«Старые раны», ( 1995 )
*«Эштерь туцят», ( 2000 *«Вирявань руця», ( 2004 ) Ушеширень кучфтемат Пинясов Григорий Ильич — — «Мордовиянь литературонь библиотексь» "	36	1	0	1	0	"good"
" '''Масторвайтаргама васта''' — оцю структурсь, конась эряви масторваень эши тиеманди, масторвайсь эди газсь таргаманди, меле нолдаманди ди аф ламос ванфтоманди мъзярс сонь аф сявихть аруяфтоманди ди мишендеманди. Сидеста масторвайтаргама вастса улихть эряма вастт таргама вастонь покайхненди.
Масторвайтаргама вастт улихть кода сюлмамс океанонь потмаксти, сонь улендихть эсь тиф цёнгат эли сон уенди ведь лангса. "	53	1	4	7	5	"good"
"'''Карасев, Аляксей''' ( ) (12.03.1910, Карцай - 21.07.1980, Саранош) — мокшень сермадысь, валморайсь. Киниганза *Чуднай сад, 1939
*Иван Казаринов, 1946
*Минь улеме солдатт, 1947
*В краю дубрав, 1956
*Березовское лето, 1961 *Стешина сирень, 1961 Кучфтемат Пензань аркифт "	35	1	1	1	2	"good"
" '''Кигель''' - тяниень пингть шарьхкодеви кода: кочкаф эди сюлмаф кшники лангонь кикрандазонь кярькс, фкя эли мъзярошка сяда лама якай электроулав эли таргай кикрандаз мархта, конатне эрявихть сонь тарксемонза. Transperth серие В кигель McIver кшни ки учемвастса, Шивалгом Австралие
500 Kyoto 2005-03-19.jpg|Япунонь Синкансен 500 кигель Киото ош учемвастса "	46	0	2	4	6	"good"
" '''Электроулав''' илякс '''Локомотив''' - тяниень пингста тя моторонь ускомбяльсь аф эсь якай кшникинь кигель крандазонь ускоманди. "	15	0	2	1	1	"good"
"'''Пою веле''' ( ) – велесь Кадажень район|Кадажень районца Исса ляйса. Ушеширень кучфтемат Пою велень лопац "	15	0	0	2	2	"good"
"Менелень Аляньке ( , , сире славянокс ''О́тьчє нашь'') — Кристозши|Кристозшистонь сембода эрявикс озондомвалсь. Евангелиеть коряс Исус Кристозсь сонь максозе сонь тонафниензонды: Менелень аляньке!
Иняруяза лемце;
Саза оцязорксшице;
Пяшкодевоза мяльвийце
Мастор лангсовок кода менельса,
Эрь шинь кшиньконь
Макст тейнек тячи;
Нолдайть шумоньконь,
Кода миньге нолясаськ
Тейнек шумуфненди.
Тямасть вятьфте тяряфнемас,
И ванфтомасть кальдявда
Сяс мес тонне Оцязорксшись,
Вийсь, кайги лемсь пефтома пингс. (Матьфеень вельде 6:96:9—13) "	63	1	0	3	10	"good"
" '''Тытаган''' - менельвенежень и оцювенежень вятись. Сон ванонды венежть содама ёнонзон, аноклай венежть кинцты китькс. Меле тянь колга пачфти венеж оцюнянди. Тытагансь петьсыне венеж вятемань картатнень, варжасыне навигациень карьхцяматнень; сон тага ваны метеорологиень ди сотксонь кархцяматнень мельге. "	36	0	1	2	4	"good"
" '''Мариуполь''' – украин онь ошсь (ащи Кальмиус ляйса, Азов иневе ). Тя ошсь тиевсь XVIII векста, 1777 кизоня. Тя ошсонк металлургическай, машиностроительнай, судоствроительнай завотт и лият. "	25	0	2	2	4	"good"
" '''Салазгярьге''' ( ) - велесь Мордовия|Мордовия республикса , Мокша мастор|Мокша масторса , Тарбей|Тарбеень районца , Салазгярьге ляйса. Улихть каготт, коса тяштьф, што сяда кизода инголе велеса эрясь 5000- да лама ломань. 2001-це кизонь лувоматнень коряс Салазгярьгса эряй 1 341 ломань. Велесь ащи 8 вайгельбеса Тарбей|Тарбейть эзда. Сембода оцю ляйсь, кона шуди тяса, тя Паксяляй . Эвондась велесь 17-це векть, васенце эряенза ульсть Анаева и Ачадово Зубунь район|Зубунь райононь велеста. Кунардонь пингть тяса ульсь вирь, сон ашезь ванфтомс тячити самс. Салазгярьге велеса шачсь и кассь содавикс мокшэрзянь валморайсь, ётафтысь, тонафтысь, од мокшень кяльвалть ушедыец Дорофеень, Закарь|Дорофеень Закарьсь . Лятфтамат "	91	3	3	4	11	"good"
" '''Келу''' ( ) - Betulaceae тъналть эзда фкясь. Шуфта Россияса сембода сидеста васьфневи касы шуфтсь. Сембоц лувондови 100 - да лама видта. Келусь касы 30-45 метра серес. Пяк виихть шуфтть юронза. Васенце кизотнень келусь касы валом,меле, меколанкт, виензон ламода макссыне серень касомати.Келу тараттнень и лопатнень эзда тиендихть тяльмот, конат кондястихть баняса Мифологияса Мокшень койть коряс, келути якальхть сюконяма, эняльдема паронкса. Келуть эса няйсть шачема, авань мархтасоткс. "	63	1	1	2	7	"good"
" '''Вунгтау''' ( ) - ошсь Виетнамса, Бариа-Вунгтау перяфксонь пряошец. Ащи Нхат Ле ляйса. Ушеширень сюлмафксне Вунгтауень Акша Лопанза = Ушесь Донгхойса = "	20	0	1	1	3	"good"
" '''Беларузмастор''' ( ), илякс Беларузмасторонь республика (Рэспубліка Беларусь). Беларузмасторонь оцюняц - Александр Григорьевич Лукашенко. Васта: 207 600 вайгяльбет. Пряошец - Минск ошсь (1 907 700 ломатть(2013 к.)). Географие Эряйхне * '''Ломаньтъналхне'''
Националонь состав Беларузмасторса 2009 кизаса: Беларуст - 83,73 %, Руст - 8,26 %, Украиттне - 1,67 %, Мокшэрзят - 0,01 %. Администрациянь аймакхт Беларузмасторса * Брестсонь аймак * Вицебонь аймак * Гомелень аймак * Гродненонь аймак * Минсконь аймак * Могилёвонь аймак "	66	0	0	0	2	"good"
" '''Грузие''' - ( sɑkʰɑrtʰvɛlɔ ) - Шивалгомширень Азиень масторхнень эзда фкясь. Грузинонь оцюняц - Маргвелашвили, Георгий Парменович . Пряошец - Тбилиси ошсь (1 473 551 л.) ди Кутаиси ошсь. Географие Васта: 69 700 км². Эряйхне Грузиеса 2002 кизаса эряда 4 369 579 ломатть, 2012 кизаса эряда 4 570 934 ломатть. * '''Ломаньтъналхне'''
Националонь состав Грузиеса 2002 кизаса: * грузиет (83,7 %),
* азератт (6,5 %),
* армяният (5,7 %),
* руст (1,5 %),
* украиттне (0,2 %), Администрациянь аймакхт Грузиеса * Аджарие Республика * Гурие * Имертие * Кахетие * Квемо-Картли * Мцхета-Мтианети * Рача-Лечхуми ди Квемо-Сванети * Самегрело ди Земо-Сванети * Самцхе-Джавахетие * Тбилиси * Шида-Картли "	102	2	3	1	4	"good"
" Атякш (др.-рус. ''куръ'', рузкс ''петух'') – Сараз|саразонь атя. Сидеста саразонь атянкса валсь ''атякш'' нолдави, а эсь валсь ''сараз'' нолдави саразонь аванкса. "	21	0	0	2	1	"good"
" Иран - перс. جمهوری اسلامی ایران‎ — Джомхури-́йе Эслɒми́-йе Ирɒ́н - масторсь Азиеса. "	11	0	0	0	2	"bad"
